iter	Passed	Remaining
0	1	111
1	2	100
2	2	95
3	3	90
4	5	97
5	6	95
6	7	95
7	8	94
8	9	92
9	10	92
10	11	92
11	12	91
12	13	90
13	14	89
14	15	88
15	16	87
16	17	86
17	18	86
18	20	85
19	21	84
20	22	83
21	23	81
22	24	82
23	25	81
24	27	81
25	28	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	73
31	34	72
32	35	71
33	36	70
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	55	45
55	56	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	62	38
62	63	37
63	63	35
64	64	34
65	65	33
66	66	32
67	67	31
68	68	30
69	69	29
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	77	20
79	78	19
80	79	18
81	80	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	86	10
89	87	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
